date,GRMN stock,isPartial
2016-04-01,0,False
2016-04-02,0,False
2016-04-03,0,False
2016-04-04,0,False
2016-04-05,0,False
2016-04-06,0,False
2016-04-07,0,False
2016-04-08,0,False
2016-04-09,0,False
2016-04-10,0,False
2016-04-11,0,False
2016-04-12,0,False
2016-04-13,0,False
2016-04-14,0,False
2016-04-15,0,False
2016-04-16,0,False
2016-04-17,0,False
2016-04-18,100,False
2016-04-19,0,False
2016-04-20,50,False
2016-04-21,0,False
2016-04-22,53,False
2016-04-23,0,False
2016-04-24,0,False
2016-04-25,0,False
2016-04-26,0,False
2016-04-27,51,False
2016-04-28,0,False
2016-04-29,53,False
2016-04-30,0,False
