date,PEP stock,isPartial
2018-02-01,32,False
2018-02-02,37,False
2018-02-03,31,False
2018-02-04,10,False
2018-02-05,33,False
2018-02-06,99,False
2018-02-07,53,False
2018-02-08,30,False
2018-02-09,59,False
2018-02-10,15,False
2018-02-11,17,False
2018-02-12,55,False
2018-02-13,100,False
2018-02-14,45,False
2018-02-15,64,False
2018-02-16,41,False
2018-02-17,27,False
2018-02-18,10,False
2018-02-19,22,False
2018-02-20,41,False
2018-02-21,30,False
2018-02-22,45,False
2018-02-23,60,False
2018-02-24,15,False
2018-02-25,30,False
2018-02-26,35,False
2018-02-27,38,False
2018-02-28,44,False
