date,GS stock,isPartial
2013-08-01,60,False
2013-08-02,21,False
2013-08-03,0,False
2013-08-04,24,False
2013-08-05,40,False
2013-08-06,39,False
2013-08-07,70,False
2013-08-08,51,False
2013-08-09,52,False
2013-08-10,36,False
2013-08-11,24,False
2013-08-12,0,False
2013-08-13,58,False
2013-08-14,39,False
2013-08-15,42,False
2013-08-16,21,False
2013-08-17,71,False
2013-08-18,23,False
2013-08-19,19,False
2013-08-20,29,False
2013-08-21,49,False
2013-08-22,30,False
2013-08-23,41,False
2013-08-24,23,False
2013-08-25,23,False
2013-08-26,76,False
2013-08-27,56,False
2013-08-28,37,False
2013-08-29,39,False
2013-08-30,100,False
2013-08-31,0,False
