date,EA stock,isPartial
2019-01-01,27,False
2019-01-02,40,False
2019-01-03,57,False
2019-01-04,63,False
2019-01-05,36,False
2019-01-06,25,False
2019-01-07,71,False
2019-01-08,66,False
2019-01-09,52,False
2019-01-10,74,False
2019-01-11,86,False
2019-01-12,32,False
2019-01-13,32,False
2019-01-14,44,False
2019-01-15,56,False
2019-01-16,93,False
2019-01-17,71,False
2019-01-18,48,False
2019-01-19,17,False
2019-01-20,25,False
2019-01-21,22,False
2019-01-22,31,False
2019-01-23,45,False
2019-01-24,39,False
2019-01-25,62,False
2019-01-26,21,False
2019-01-27,19,False
2019-01-28,57,False
2019-01-29,100,False
2019-01-30,89,False
2019-01-31,100,False
