date,COST stock,isPartial
2012-01-01,34,False
2012-01-02,38,False
2012-01-03,67,False
2012-01-04,78,False
2012-01-05,58,False
2012-01-06,77,False
2012-01-07,45,False
2012-01-08,46,False
2012-01-09,52,False
2012-01-10,62,False
2012-01-11,75,False
2012-01-12,48,False
2012-01-13,81,False
2012-01-14,65,False
2012-01-15,61,False
2012-01-16,59,False
2012-01-17,75,False
2012-01-18,55,False
2012-01-19,60,False
2012-01-20,64,False
2012-01-21,74,False
2012-01-22,58,False
2012-01-23,55,False
2012-01-24,53,False
2012-01-25,98,False
2012-01-26,84,False
2012-01-27,100,False
2012-01-28,100,False
2012-01-29,76,False
2012-01-30,92,False
2012-01-31,99,False
