date,QCOM stock,isPartial
2018-04-01,4,False
2018-04-02,34,False
2018-04-03,52,False
2018-04-04,54,False
2018-04-05,43,False
2018-04-06,34,False
2018-04-07,7,False
2018-04-08,7,False
2018-04-09,35,False
2018-04-10,19,False
2018-04-11,35,False
2018-04-12,49,False
2018-04-13,71,False
2018-04-14,19,False
2018-04-15,7,False
2018-04-16,70,False
2018-04-17,48,False
2018-04-18,32,False
2018-04-19,66,False
2018-04-20,30,False
2018-04-21,26,False
2018-04-22,15,False
2018-04-23,48,False
2018-04-24,60,False
2018-04-25,83,False
2018-04-26,100,False
2018-04-27,42,False
2018-04-28,19,False
2018-04-29,4,False
2018-04-30,30,False
