date,PFE stock,isPartial
2019-03-01,23,False
2019-03-02,13,False
2019-03-03,0,False
2019-03-04,34,False
2019-03-05,28,False
2019-03-06,76,False
2019-03-07,50,False
2019-03-08,58,False
2019-03-09,0,False
2019-03-10,0,False
2019-03-11,61,False
2019-03-12,39,False
2019-03-13,65,False
2019-03-14,100,False
2019-03-15,74,False
2019-03-16,13,False
