date,AAPL stock,isPartial
2018-09-01,16,False
2018-09-02,6,False
2018-09-03,10,False
2018-09-04,59,False
2018-09-05,71,False
2018-09-06,60,False
2018-09-07,50,False
2018-09-08,16,False
2018-09-09,9,False
2018-09-10,63,False
2018-09-11,66,False
2018-09-12,100,False
2018-09-13,93,False
2018-09-14,68,False
2018-09-15,9,False
2018-09-16,6,False
2018-09-17,57,False
2018-09-18,65,False
2018-09-19,60,False
2018-09-20,53,False
2018-09-21,58,False
2018-09-22,17,False
2018-09-23,7,False
2018-09-24,46,False
2018-09-25,48,False
2018-09-26,49,False
2018-09-27,50,False
2018-09-28,59,False
2018-09-29,9,False
2018-09-30,5,False
