date,ADBE stock,isPartial
2016-09-01,0,False
2016-09-02,36,False
2016-09-03,0,False
2016-09-04,0,False
2016-09-05,0,False
2016-09-06,17,False
2016-09-07,17,False
2016-09-08,17,False
2016-09-09,18,False
2016-09-10,0,False
2016-09-11,0,False
2016-09-12,34,False
2016-09-13,34,False
2016-09-14,17,False
2016-09-15,17,False
2016-09-16,18,False
2016-09-17,0,False
2016-09-18,19,False
2016-09-19,17,False
2016-09-20,100,False
2016-09-21,83,False
2016-09-22,60,False
2016-09-23,18,False
2016-09-24,20,False
2016-09-25,19,False
2016-09-26,58,False
2016-09-27,17,False
2016-09-28,34,False
2016-09-29,25,False
2016-09-30,17,False
