date,AMZN stock,isPartial
2013-05-01,91,False
2013-05-02,76,False
2013-05-03,49,False
2013-05-04,45,False
2013-05-05,0,False
2013-05-06,56,False
2013-05-07,84,False
2013-05-08,66,False
2013-05-09,57,False
2013-05-10,69,False
2013-05-11,45,False
2013-05-12,0,False
2013-05-13,37,False
2013-05-14,90,False
2013-05-15,46,False
2013-05-16,84,False
2013-05-17,58,False
2013-05-18,22,False
2013-05-19,22,False
2013-05-20,46,False
2013-05-21,63,False
2013-05-22,100,False
2013-05-23,83,False
2013-05-24,67,False
2013-05-25,22,False
2013-05-26,22,False
2013-05-27,66,False
2013-05-28,72,False
2013-05-29,36,False
2013-05-30,47,False
2013-05-31,77,False
