date,MCD stock,isPartial
2017-08-01,72,False
2017-08-02,88,False
2017-08-03,59,False
2017-08-04,61,False
2017-08-05,12,False
2017-08-06,11,False
2017-08-07,48,False
2017-08-08,66,False
2017-08-09,53,False
2017-08-10,100,False
2017-08-11,77,False
2017-08-12,23,False
2017-08-13,17,False
2017-08-14,45,False
2017-08-15,61,False
2017-08-16,45,False
2017-08-17,74,False
2017-08-18,87,False
2017-08-19,17,False
2017-08-20,11,False
2017-08-21,43,False
2017-08-22,53,False
2017-08-23,39,False
2017-08-24,20,False
2017-08-25,57,False
2017-08-26,23,False
2017-08-27,22,False
2017-08-28,39,False
2017-08-29,44,False
2017-08-30,34,False
2017-08-31,73,False
