date,SYMC stock,isPartial
2012-03-01,0,False
2012-03-02,90,False
2012-03-03,0,False
2012-03-04,0,False
2012-03-05,0,False
2012-03-06,0,False
2012-03-07,82,False
2012-03-08,85,False
2012-03-09,87,False
2012-03-10,0,False
2012-03-11,0,False
2012-03-12,0,False
2012-03-13,83,False
2012-03-14,0,False
2012-03-15,0,False
2012-03-16,88,False
2012-03-17,0,False
2012-03-18,100,False
2012-03-19,0,False
2012-03-20,83,False
2012-03-21,0,False
2012-03-22,84,False
2012-03-23,0,False
2012-03-24,0,False
2012-03-25,0,False
2012-03-26,0,False
2012-03-27,0,False
2012-03-28,84,False
2012-03-29,0,False
2012-03-30,0,False
2012-03-31,0,False
