date,HD stock,isPartial
2012-07-01,63,False
2012-07-02,70,False
2012-07-03,70,False
2012-07-04,29,False
2012-07-05,67,False
2012-07-06,59,False
2012-07-07,100,False
2012-07-08,29,False
2012-07-09,32,False
2012-07-10,69,False
2012-07-11,48,False
2012-07-12,33,False
2012-07-13,44,False
2012-07-14,23,False
2012-07-15,41,False
2012-07-16,70,False
2012-07-17,60,False
2012-07-18,89,False
2012-07-19,33,False
2012-07-20,59,False
2012-07-21,77,False
2012-07-22,65,False
2012-07-23,52,False
2012-07-24,47,False
2012-07-25,33,False
2012-07-26,67,False
2012-07-27,40,False
2012-07-28,64,False
2012-07-29,23,False
2012-07-30,37,False
2012-07-31,28,False
