date,MDLZ stock,isPartial
2013-04-01,36,False
2013-04-02,51,False
2013-04-03,0,False
2013-04-04,0,False
2013-04-05,35,False
2013-04-06,0,False
2013-04-07,0,False
2013-04-08,34,False
2013-04-09,100,False
2013-04-10,0,False
2013-04-11,0,False
2013-04-12,36,False
2013-04-13,0,False
2013-04-14,0,False
2013-04-15,51,False
2013-04-16,0,False
2013-04-17,0,False
2013-04-18,34,False
2013-04-19,53,False
2013-04-20,0,False
2013-04-21,41,False
2013-04-22,51,False
2013-04-23,51,False
2013-04-24,34,False
2013-04-25,35,False
2013-04-26,0,False
2013-04-27,41,False
2013-04-28,0,False
2013-04-29,0,False
2013-04-30,35,False
