date,SYMC stock,isPartial
2012-10-01,0,False
2012-10-02,0,False
2012-10-03,85,False
2012-10-04,83,False
2012-10-05,86,False
2012-10-06,100,False
2012-10-07,0,False
2012-10-08,82,False
2012-10-09,0,False
2012-10-10,81,False
2012-10-11,0,False
2012-10-12,87,False
2012-10-13,0,False
2012-10-14,0,False
2012-10-15,81,False
2012-10-16,80,False
2012-10-17,0,False
2012-10-18,0,False
2012-10-19,85,False
2012-10-20,0,False
2012-10-21,0,False
2012-10-22,0,False
2012-10-23,0,False
2012-10-24,0,False
2012-10-25,83,False
2012-10-26,0,False
2012-10-27,99,False
2012-10-28,95,False
2012-10-29,0,False
2012-10-30,0,False
2012-10-31,0,False
