date,MU stock,isPartial
2013-01-01,100,False
2013-01-02,64,False
2013-01-03,94,False
2013-01-04,48,False
2013-01-05,53,False
2013-01-06,0,False
2013-01-07,91,False
2013-01-08,0,False
2013-01-09,60,False
2013-01-10,60,False
2013-01-11,93,False
2013-01-12,53,False
2013-01-13,0,False
2013-01-14,0,False
2013-01-15,29,False
2013-01-16,89,False
2013-01-17,74,False
2013-01-18,77,False
2013-01-19,52,False
2013-01-20,34,False
2013-01-21,29,False
2013-01-22,73,False
2013-01-23,44,False
2013-01-24,59,False
2013-01-25,46,False
2013-01-26,87,False
2013-01-27,0,False
2013-01-28,88,False
2013-01-29,86,False
2013-01-30,44,False
2013-01-31,29,False
