date,IBM stock,isPartial
2013-02-01,100,False
2013-02-02,38,False
2013-02-03,30,False
2013-02-04,58,False
2013-02-05,60,False
2013-02-06,60,False
2013-02-07,73,False
2013-02-08,78,False
2013-02-09,31,False
2013-02-10,36,False
2013-02-11,54,False
2013-02-12,72,False
2013-02-13,72,False
2013-02-14,52,False
2013-02-15,61,False
2013-02-16,33,False
2013-02-17,24,False
2013-02-18,37,False
2013-02-19,46,False
2013-02-20,51,False
2013-02-21,51,False
2013-02-22,48,False
2013-02-23,19,False
2013-02-24,35,False
2013-02-25,33,False
2013-02-26,54,False
2013-02-27,68,False
2013-02-28,74,False
