date,BA stock,isPartial
2016-05-01,26,False
2016-05-02,50,False
2016-05-03,66,False
2016-05-04,44,False
2016-05-05,63,False
2016-05-06,82,False
2016-05-07,13,False
2016-05-08,26,False
2016-05-09,84,False
2016-05-10,98,False
2016-05-11,27,False
2016-05-12,55,False
2016-05-13,80,False
2016-05-14,26,False
2016-05-15,19,False
2016-05-16,60,False
2016-05-17,60,False
2016-05-18,33,False
2016-05-19,99,False
2016-05-20,93,False
2016-05-21,26,False
2016-05-22,26,False
2016-05-23,82,False
2016-05-24,60,False
2016-05-25,100,False
2016-05-26,47,False
2016-05-27,53,False
2016-05-28,13,False
2016-05-29,13,False
2016-05-30,17,False
2016-05-31,50,False
