date,PFE stock,isPartial
2013-01-01,0,False
2013-01-02,86,False
2013-01-03,0,False
2013-01-04,43,False
2013-01-05,24,False
2013-01-06,24,False
2013-01-07,21,False
2013-01-08,41,False
2013-01-09,40,False
2013-01-10,20,False
2013-01-11,63,False
2013-01-12,0,False
2013-01-13,0,False
2013-01-14,20,False
2013-01-15,40,False
2013-01-16,0,False
2013-01-17,60,False
2013-01-18,0,False
2013-01-19,0,False
2013-01-20,47,False
2013-01-21,0,False
2013-01-22,59,False
2013-01-23,100,False
2013-01-24,40,False
2013-01-25,83,False
2013-01-26,0,False
2013-01-27,0,False
2013-01-28,39,False
2013-01-29,39,False
2013-01-30,39,False
2013-01-31,79,False
