date,FB stock,isPartial
2013-09-01,14,False
2013-09-02,20,False
2013-09-03,45,False
2013-09-04,55,False
2013-09-05,71,False
2013-09-06,66,False
2013-09-07,32,False
2013-09-08,14,False
2013-09-09,66,False
2013-09-10,61,False
2013-09-11,65,False
2013-09-12,74,False
2013-09-13,67,False
2013-09-14,33,False
2013-09-15,18,False
2013-09-16,58,False
2013-09-17,68,False
2013-09-18,76,False
2013-09-19,61,False
2013-09-20,77,False
2013-09-21,30,False
2013-09-22,17,False
2013-09-23,69,False
2013-09-24,96,False
2013-09-25,82,False
2013-09-26,100,False
2013-09-27,88,False
2013-09-28,34,False
2013-09-29,18,False
2013-09-30,83,False
