date,DIS stock,isPartial
2014-11-01,29,False
2014-11-02,23,False
2014-11-03,87,False
2014-11-04,95,False
2014-11-05,99,False
2014-11-06,95,False
2014-11-07,100,False
2014-11-08,23,False
2014-11-09,22,False
2014-11-10,62,False
2014-11-11,76,False
2014-11-12,66,False
2014-11-13,52,False
2014-11-14,40,False
2014-11-15,34,False
2014-11-16,0,False
2014-11-17,42,False
2014-11-18,67,False
2014-11-19,49,False
2014-11-20,53,False
2014-11-21,79,False
2014-11-22,22,False
2014-11-23,22,False
2014-11-24,37,False
2014-11-25,74,False
2014-11-26,53,False
2014-11-27,15,False
2014-11-28,15,False
2014-11-29,22,False
2014-11-30,38,False
