date,EBAY stock,isPartial
2012-12-01,86,False
2012-12-02,88,False
2012-12-03,78,False
2012-12-04,53,False
2012-12-05,100,False
2012-12-06,74,False
2012-12-07,78,False
2012-12-08,61,False
2012-12-09,71,False
2012-12-10,86,False
2012-12-11,81,False
2012-12-12,62,False
2012-12-13,71,False
2012-12-14,77,False
2012-12-15,61,False
2012-12-16,61,False
2012-12-17,92,False
2012-12-18,81,False
2012-12-19,71,False
2012-12-20,87,False
2012-12-21,76,False
2012-12-22,59,False
2012-12-23,61,False
2012-12-24,80,False
2012-12-25,59,False
2012-12-26,66,False
2012-12-27,84,False
2012-12-28,62,False
2012-12-29,75,False
2012-12-30,63,False
2012-12-31,74,False
