date,HAS stock,isPartial
2015-10-01,58,False
2015-10-02,71,False
2015-10-03,56,False
2015-10-04,66,False
2015-10-05,94,False
2015-10-06,79,False
2015-10-07,62,False
2015-10-08,66,False
2015-10-09,69,False
2015-10-10,60,False
2015-10-11,74,False
2015-10-12,60,False
2015-10-13,78,False
2015-10-14,86,False
2015-10-15,77,False
2015-10-16,62,False
2015-10-17,55,False
2015-10-18,56,False
2015-10-19,75,False
2015-10-20,95,False
2015-10-21,79,False
2015-10-22,72,False
2015-10-23,52,False
2015-10-24,64,False
2015-10-25,79,False
2015-10-26,100,False
2015-10-27,82,False
2015-10-28,79,False
2015-10-29,78,False
2015-10-30,60,False
2015-10-31,38,False
