date,BA stock,isPartial
2017-07-01,11,False
2017-07-02,7,False
2017-07-03,19,False
2017-07-04,7,False
2017-07-05,19,False
2017-07-06,22,False
2017-07-07,29,False
2017-07-08,11,False
2017-07-09,7,False
2017-07-10,30,False
2017-07-11,17,False
2017-07-12,33,False
2017-07-13,31,False
2017-07-14,44,False
2017-07-15,0,False
2017-07-16,8,False
2017-07-17,22,False
2017-07-18,34,False
2017-07-19,30,False
2017-07-20,39,False
2017-07-21,25,False
2017-07-22,15,False
2017-07-23,4,False
2017-07-24,31,False
2017-07-25,31,False
2017-07-26,97,False
2017-07-27,100,False
2017-07-28,53,False
2017-07-29,11,False
2017-07-30,7,False
2017-07-31,50,False
