date,TSLA stock,isPartial
2018-04-01,10,False
2018-04-02,100,False
2018-04-03,92,False
2018-04-04,71,False
2018-04-05,68,False
2018-04-06,60,False
2018-04-07,11,False
2018-04-08,3,False
2018-04-09,36,False
2018-04-10,40,False
2018-04-11,47,False
2018-04-12,41,False
2018-04-13,36,False
2018-04-14,10,False
2018-04-15,5,False
2018-04-16,24,False
2018-04-17,40,False
2018-04-18,33,False
2018-04-19,27,False
2018-04-20,25,False
2018-04-21,11,False
2018-04-22,7,False
2018-04-23,25,False
2018-04-24,26,False
2018-04-25,25,False
2018-04-26,29,False
2018-04-27,27,False
2018-04-28,7,False
2018-04-29,2,False
2018-04-30,24,False
