date,GS stock,isPartial
2012-09-01,67,False
2012-09-02,39,False
2012-09-03,34,False
2012-09-04,64,False
2012-09-05,32,False
2012-09-06,44,False
2012-09-07,58,False
2012-09-08,39,False
2012-09-09,0,False
2012-09-10,64,False
2012-09-11,48,False
2012-09-12,63,False
2012-09-13,54,False
2012-09-14,100,False
2012-09-15,39,False
2012-09-16,39,False
2012-09-17,64,False
2012-09-18,52,False
2012-09-19,63,False
2012-09-20,32,False
2012-09-21,0,False
2012-09-22,39,False
2012-09-23,0,False
2012-09-24,31,False
2012-09-25,47,False
2012-09-26,53,False
2012-09-27,32,False
2012-09-28,33,False
2012-09-29,38,False
2012-09-30,38,False
