date,MSFT stock,isPartial
2013-12-01,34,False
2013-12-02,72,False
2013-12-03,100,False
2013-12-04,76,False
2013-12-05,91,False
2013-12-06,81,False
2013-12-07,26,False
2013-12-08,15,False
2013-12-09,79,False
2013-12-10,71,False
2013-12-11,78,False
2013-12-12,62,False
2013-12-13,73,False
2013-12-14,47,False
2013-12-15,46,False
2013-12-16,92,False
2013-12-17,51,False
2013-12-18,94,False
2013-12-19,73,False
2013-12-20,80,False
2013-12-21,27,False
2013-12-22,24,False
2013-12-23,68,False
2013-12-24,37,False
2013-12-25,56,False
2013-12-26,60,False
2013-12-27,71,False
2013-12-28,34,False
2013-12-29,23,False
2013-12-30,54,False
2013-12-31,54,False
