date,ODP stock,isPartial
2015-04-01,0,False
2015-04-02,87,False
2015-04-03,0,False
2015-04-04,100,False
2015-04-05,0,False
2015-04-06,0,False
2015-04-07,0,False
2015-04-08,0,False
2015-04-09,0,False
2015-04-10,0,False
2015-04-11,0,False
2015-04-12,0,False
2015-04-13,81,False
2015-04-14,81,False
2015-04-15,0,False
2015-04-16,0,False
2015-04-17,86,False
2015-04-18,0,False
2015-04-19,0,False
2015-04-20,0,False
2015-04-21,82,False
2015-04-22,0,False
2015-04-23,0,False
2015-04-24,0,False
2015-04-25,97,False
2015-04-26,0,False
2015-04-27,0,False
2015-04-28,81,False
2015-04-29,82,False
2015-04-30,84,False
