date,SBUX stock,isPartial
2016-05-01,13,False
2016-05-02,49,False
2016-05-03,98,False
2016-05-04,56,False
2016-05-05,73,False
2016-05-06,47,False
2016-05-07,9,False
2016-05-08,17,False
2016-05-09,59,False
2016-05-10,88,False
2016-05-11,59,False
2016-05-12,100,False
2016-05-13,91,False
2016-05-14,30,False
2016-05-15,17,False
2016-05-16,59,False
2016-05-17,58,False
2016-05-18,44,False
2016-05-19,88,False
2016-05-20,70,False
2016-05-21,9,False
2016-05-22,34,False
2016-05-23,55,False
2016-05-24,62,False
2016-05-25,67,False
2016-05-26,89,False
2016-05-27,59,False
2016-05-28,39,False
2016-05-29,22,False
2016-05-30,31,False
2016-05-31,70,False
