date,WDC stock,isPartial
2017-11-01,52,False
2017-11-02,64,False
2017-11-03,45,False
2017-11-04,21,False
2017-11-05,17,False
2017-11-06,52,False
2017-11-07,49,False
2017-11-08,31,False
2017-11-09,53,False
2017-11-10,39,False
2017-11-11,7,False
2017-11-12,14,False
2017-11-13,52,False
2017-11-14,55,False
2017-11-15,83,False
2017-11-16,40,False
2017-11-17,51,False
2017-11-18,18,False
2017-11-19,10,False
2017-11-20,49,False
2017-11-21,55,False
2017-11-22,68,False
2017-11-23,29,False
2017-11-24,29,False
2017-11-25,17,False
2017-11-26,7,False
2017-11-27,78,False
2017-11-28,100,False
2017-11-29,80,False
2017-11-30,78,False
