date,SIRI stock,isPartial
2017-01-01,23,False
2017-01-02,10,False
2017-01-03,60,False
2017-01-04,96,False
2017-01-05,74,False
2017-01-06,52,False
2017-01-07,45,False
2017-01-08,0,False
2017-01-09,57,False
2017-01-10,66,False
2017-01-11,57,False
2017-01-12,27,False
2017-01-13,41,False
2017-01-14,25,False
2017-01-15,20,False
2017-01-16,9,False
2017-01-17,69,False
2017-01-18,65,False
2017-01-19,39,False
2017-01-20,45,False
2017-01-21,20,False
2017-01-22,0,False
2017-01-23,69,False
2017-01-24,44,False
2017-01-25,83,False
2017-01-26,56,False
2017-01-27,100,False
2017-01-28,25,False
2017-01-29,10,False
2017-01-30,43,False
2017-01-31,52,False
