date,NVDA stock,isPartial
2016-06-01,91,False
2016-06-02,100,False
2016-06-03,64,False
2016-06-04,22,False
2016-06-05,17,False
2016-06-06,49,False
2016-06-07,68,False
2016-06-08,53,False
2016-06-09,58,False
2016-06-10,36,False
2016-06-11,9,False
2016-06-12,9,False
2016-06-13,48,False
2016-06-14,55,False
2016-06-15,49,False
2016-06-16,38,False
2016-06-17,40,False
2016-06-18,9,False
2016-06-19,13,False
2016-06-20,60,False
2016-06-21,53,False
2016-06-22,34,False
2016-06-23,51,False
2016-06-24,88,False
2016-06-25,36,False
2016-06-26,27,False
2016-06-27,57,False
2016-06-28,57,False
2016-06-29,58,False
2016-06-30,35,False
