date,KO stock,isPartial
2015-03-01,31,False
2015-03-02,76,False
2015-03-03,81,False
2015-03-04,100,False
2015-03-05,55,False
2015-03-06,62,False
2015-03-07,27,False
2015-03-08,43,False
2015-03-09,54,False
2015-03-10,54,False
2015-03-11,50,False
2015-03-12,78,False
2015-03-13,80,False
2015-03-14,32,False
2015-03-15,21,False
2015-03-16,64,False
2015-03-17,72,False
2015-03-18,64,False
2015-03-19,32,False
2015-03-20,84,False
2015-03-21,38,False
2015-03-22,21,False
2015-03-23,72,False
2015-03-24,58,False
2015-03-25,33,False
2015-03-26,47,False
2015-03-27,57,False
2015-03-28,23,False
2015-03-29,22,False
2015-03-30,68,False
2015-03-31,59,False
