date,PFE stock,isPartial
2017-11-01,64,False
2017-11-02,88,False
2017-11-03,76,False
2017-11-04,31,False
2017-11-05,43,False
2017-11-06,45,False
2017-11-07,53,False
2017-11-08,54,False
2017-11-09,69,False
2017-11-10,72,False
2017-11-11,22,False
2017-11-12,17,False
2017-11-13,57,False
2017-11-14,57,False
2017-11-15,61,False
2017-11-16,46,False
2017-11-17,40,False
2017-11-18,9,False
2017-11-19,9,False
2017-11-20,57,False
2017-11-21,80,False
2017-11-22,54,False
2017-11-23,20,False
2017-11-24,36,False
2017-11-25,17,False
2017-11-26,17,False
2017-11-27,63,False
2017-11-28,41,False
2017-11-29,61,False
2017-11-30,100,False
