date,MCD stock,isPartial
2014-08-01,45,False
2014-08-02,44,False
2014-08-03,30,False
2014-08-04,55,False
2014-08-05,100,False
2014-08-06,86,False
2014-08-07,35,False
2014-08-08,91,False
2014-08-09,37,False
2014-08-10,22,False
2014-08-11,61,False
2014-08-12,48,False
2014-08-13,48,False
2014-08-14,43,False
2014-08-15,40,False
2014-08-16,22,False
2014-08-17,22,False
2014-08-18,55,False
2014-08-19,48,False
2014-08-20,42,False
2014-08-21,66,False
2014-08-22,44,False
2014-08-23,0,False
2014-08-24,21,False
2014-08-25,89,False
2014-08-26,64,False
2014-08-27,70,False
2014-08-28,60,False
2014-08-29,50,False
2014-08-30,0,False
2014-08-31,31,False
