date,FB stock,isPartial
2019-01-01,9,False
2019-01-02,26,False
2019-01-03,34,False
2019-01-04,33,False
2019-01-05,8,False
2019-01-06,4,False
2019-01-07,25,False
2019-01-08,26,False
2019-01-09,30,False
2019-01-10,25,False
2019-01-11,24,False
2019-01-12,5,False
2019-01-13,3,False
2019-01-14,19,False
2019-01-15,26,False
2019-01-16,24,False
2019-01-17,25,False
2019-01-18,27,False
2019-01-19,8,False
2019-01-20,4,False
2019-01-21,8,False
2019-01-22,21,False
2019-01-23,21,False
2019-01-24,21,False
2019-01-25,23,False
2019-01-26,7,False
2019-01-27,5,False
2019-01-28,21,False
2019-01-29,24,False
2019-01-30,67,False
2019-01-31,100,False
