date,CSCO stock,isPartial
2017-04-01,31,False
2017-04-02,16,False
2017-04-03,62,False
2017-04-04,49,False
2017-04-05,40,False
2017-04-06,100,False
2017-04-07,79,False
2017-04-08,21,False
2017-04-09,42,False
2017-04-10,76,False
2017-04-11,69,False
2017-04-12,51,False
2017-04-13,48,False
2017-04-14,66,False
2017-04-15,32,False
2017-04-16,11,False
2017-04-17,61,False
2017-04-18,53,False
2017-04-19,44,False
2017-04-20,63,False
2017-04-21,61,False
2017-04-22,0,False
2017-04-23,20,False
2017-04-24,89,False
2017-04-25,31,False
2017-04-26,84,False
2017-04-27,81,False
2017-04-28,79,False
2017-04-29,47,False
2017-04-30,16,False
