date,GILD stock,isPartial
2013-05-01,66,False
2013-05-02,74,False
2013-05-03,64,False
2013-05-04,30,False
2013-05-05,29,False
2013-05-06,61,False
2013-05-07,24,False
2013-05-08,61,False
2013-05-09,100,False
2013-05-10,26,False
2013-05-11,44,False
2013-05-12,29,False
2013-05-13,59,False
2013-05-14,32,False
2013-05-15,71,False
2013-05-16,73,False
2013-05-17,38,False
2013-05-18,29,False
2013-05-19,43,False
2013-05-20,36,False
2013-05-21,23,False
2013-05-22,95,False
2013-05-23,84,False
2013-05-24,62,False
2013-05-25,0,False
2013-05-26,29,False
2013-05-27,25,False
2013-05-28,59,False
2013-05-29,23,False
2013-05-30,37,False
2013-05-31,25,False
