date,HAS stock,isPartial
2012-03-01,75,False
2012-03-02,61,False
2012-03-03,44,False
2012-03-04,67,False
2012-03-05,90,False
2012-03-06,45,False
2012-03-07,58,False
2012-03-08,47,False
2012-03-09,62,False
2012-03-10,47,False
2012-03-11,70,False
2012-03-12,58,False
2012-03-13,80,False
2012-03-14,100,False
2012-03-15,90,False
2012-03-16,78,False
2012-03-17,45,False
2012-03-18,78,False
2012-03-19,82,False
2012-03-20,52,False
2012-03-21,76,False
2012-03-22,64,False
2012-03-23,68,False
2012-03-24,46,False
2012-03-25,67,False
2012-03-26,67,False
2012-03-27,91,False
2012-03-28,59,False
2012-03-29,89,False
2012-03-30,72,False
2012-03-31,50,False
