date,SIRI stock,isPartial
2015-09-01,46,False
2015-09-02,47,False
2015-09-03,41,False
2015-09-04,83,False
2015-09-05,32,False
2015-09-06,32,False
2015-09-07,14,False
2015-09-08,72,False
2015-09-09,72,False
2015-09-10,100,False
2015-09-11,55,False
2015-09-12,46,False
2015-09-13,15,False
2015-09-14,97,False
2015-09-15,52,False
2015-09-16,33,False
2015-09-17,72,False
2015-09-18,68,False
2015-09-19,31,False
2015-09-20,31,False
2015-09-21,45,False
2015-09-22,78,False
2015-09-23,59,False
2015-09-24,67,False
2015-09-25,97,False
2015-09-26,39,False
2015-09-27,39,False
2015-09-28,13,False
2015-09-29,71,False
2015-09-30,39,False
