date,HD stock,isPartial
2015-12-01,68,False
2015-12-02,64,False
2015-12-03,68,False
2015-12-04,62,False
2015-12-05,40,False
2015-12-06,31,False
2015-12-07,60,False
2015-12-08,60,False
2015-12-09,62,False
2015-12-10,53,False
2015-12-11,52,False
2015-12-12,34,False
2015-12-13,47,False
2015-12-14,71,False
2015-12-15,66,False
2015-12-16,67,False
2015-12-17,66,False
2015-12-18,67,False
2015-12-19,59,False
2015-12-20,35,False
2015-12-21,48,False
2015-12-22,57,False
2015-12-23,76,False
2015-12-24,100,False
2015-12-25,52,False
2015-12-26,39,False
2015-12-27,44,False
2015-12-28,60,False
2015-12-29,58,False
2015-12-30,83,False
2015-12-31,35,False
