date,TWTR,isPartial
2013-01-01,31,False
2013-01-02,12,False
2013-01-03,12,False
2013-01-04,100,False
2013-01-05,14,False
2013-01-06,0,False
2013-01-07,12,False
2013-01-08,35,False
2013-01-09,35,False
2013-01-10,35,False
2013-01-11,0,False
2013-01-12,55,False
2013-01-13,0,False
2013-01-14,34,False
2013-01-15,46,False
2013-01-16,23,False
2013-01-17,12,False
2013-01-18,12,False
2013-01-19,27,False
2013-01-20,27,False
2013-01-21,11,False
2013-01-22,23,False
2013-01-23,12,False
2013-01-24,12,False
2013-01-25,0,False
2013-01-26,41,False
2013-01-27,13,False
2013-01-28,11,False
2013-01-29,34,False
2013-01-30,23,False
2013-01-31,23,False
