date,HD stock,isPartial
2015-01-01,59,False
2015-01-02,68,False
2015-01-03,41,False
2015-01-04,59,False
2015-01-05,56,False
2015-01-06,72,False
2015-01-07,60,False
2015-01-08,50,False
2015-01-09,94,False
2015-01-10,29,False
2015-01-11,51,False
2015-01-12,40,False
2015-01-13,54,False
2015-01-14,64,False
2015-01-15,100,False
2015-01-16,46,False
2015-01-17,59,False
2015-01-18,69,False
2015-01-19,34,False
2015-01-20,64,False
2015-01-21,39,False
2015-01-22,44,False
2015-01-23,56,False
2015-01-24,46,False
2015-01-25,80,False
2015-01-26,68,False
2015-01-27,58,False
2015-01-28,64,False
2015-01-29,54,False
2015-01-30,65,False
2015-01-31,46,False
