date,SIRI stock,isPartial
2015-05-01,70,False
2015-05-02,27,False
2015-05-03,20,False
2015-05-04,79,False
2015-05-05,79,False
2015-05-06,90,False
2015-05-07,80,False
2015-05-08,84,False
2015-05-09,69,False
2015-05-10,21,False
2015-05-11,39,False
2015-05-12,73,False
2015-05-13,51,False
2015-05-14,93,False
2015-05-15,41,False
2015-05-16,30,False
2015-05-17,20,False
2015-05-18,61,False
2015-05-19,100,False
2015-05-20,56,False
2015-05-21,74,False
2015-05-22,83,False
2015-05-23,41,False
2015-05-24,41,False
2015-05-25,17,False
2015-05-26,77,False
2015-05-27,61,False
2015-05-28,84,False
2015-05-29,88,False
2015-05-30,40,False
2015-05-31,20,False
