date,EA stock,isPartial
2012-12-01,0,False
2012-12-02,32,False
2012-12-03,53,False
2012-12-04,79,False
2012-12-05,40,False
2012-12-06,83,False
2012-12-07,28,False
2012-12-08,100,False
2012-12-09,64,False
2012-12-10,27,False
2012-12-11,53,False
2012-12-12,27,False
2012-12-13,68,False
2012-12-14,84,False
2012-12-15,32,False
2012-12-16,64,False
2012-12-17,67,False
2012-12-18,81,False
2012-12-19,84,False
2012-12-20,84,False
2012-12-21,59,False
2012-12-22,34,False
2012-12-23,52,False
2012-12-24,34,False
2012-12-25,72,False
2012-12-26,61,False
2012-12-27,29,False
2012-12-28,44,False
2012-12-29,66,False
2012-12-30,33,False
2012-12-31,33,False
