date,SIRI stock,isPartial
2017-05-01,100,False
2017-05-02,86,False
2017-05-03,34,False
2017-05-04,41,False
2017-05-05,74,False
2017-05-06,25,False
2017-05-07,36,False
2017-05-08,62,False
2017-05-09,61,False
2017-05-10,52,False
2017-05-11,69,False
2017-05-12,39,False
2017-05-13,15,False
2017-05-14,29,False
2017-05-15,42,False
2017-05-16,73,False
2017-05-17,53,False
2017-05-18,76,False
2017-05-19,52,False
2017-05-20,31,False
2017-05-21,8,False
2017-05-22,56,False
2017-05-23,45,False
2017-05-24,60,False
2017-05-25,71,False
2017-05-26,85,False
2017-05-27,36,False
2017-05-28,32,False
2017-05-29,34,False
2017-05-30,78,False
2017-05-31,68,False
