date,KO stock,isPartial
2012-02-01,29,False
2012-02-02,29,False
2012-02-03,60,False
2012-02-04,17,False
2012-02-05,0,False
2012-02-06,29,False
2012-02-07,100,False
2012-02-08,43,False
2012-02-09,14,False
2012-02-10,15,False
2012-02-11,34,False
2012-02-12,17,False
2012-02-13,14,False
2012-02-14,14,False
2012-02-15,0,False
2012-02-16,43,False
2012-02-17,45,False
2012-02-18,0,False
2012-02-19,0,False
2012-02-20,0,False
2012-02-21,30,False
2012-02-22,0,False
2012-02-23,43,False
2012-02-24,15,False
2012-02-25,17,False
2012-02-26,34,False
2012-02-27,70,False
2012-02-28,42,False
2012-02-29,14,False
