date,EA stock,isPartial
2018-11-01,59,False
2018-11-02,60,False
2018-11-03,31,False
2018-11-04,12,False
2018-11-05,31,False
2018-11-06,40,False
2018-11-07,43,False
2018-11-08,48,False
2018-11-09,44,False
2018-11-10,32,False
2018-11-11,31,False
2018-11-12,86,False
2018-11-13,100,False
2018-11-14,77,False
2018-11-15,69,False
2018-11-16,56,False
2018-11-17,35,False
2018-11-18,39,False
2018-11-19,91,False
2018-11-20,65,False
2018-11-21,61,False
2018-11-22,29,False
2018-11-23,40,False
2018-11-24,20,False
2018-11-25,20,False
2018-11-26,55,False
2018-11-27,48,False
2018-11-28,75,False
2018-11-29,56,False
2018-11-30,57,False
