date,MDLZ stock,isPartial
2015-09-01,66,False
2015-09-02,55,False
2015-09-03,50,False
2015-09-04,46,False
2015-09-05,0,False
2015-09-06,0,False
2015-09-07,0,False
2015-09-08,33,False
2015-09-09,0,False
2015-09-10,33,False
2015-09-11,34,False
2015-09-12,38,False
2015-09-13,0,False
2015-09-14,32,False
2015-09-15,48,False
2015-09-16,43,False
2015-09-17,44,False
2015-09-18,34,False
2015-09-19,39,False
2015-09-20,0,False
2015-09-21,32,False
2015-09-22,32,False
2015-09-23,49,False
2015-09-24,100,False
2015-09-25,86,False
2015-09-26,39,False
2015-09-27,0,False
2015-09-28,32,False
2015-09-29,32,False
2015-09-30,64,False
