date,INTC stock,isPartial
2016-09-01,64,False
2016-09-02,55,False
2016-09-03,22,False
2016-09-04,17,False
2016-09-05,11,False
2016-09-06,66,False
2016-09-07,61,False
2016-09-08,76,False
2016-09-09,47,False
2016-09-10,22,False
2016-09-11,17,False
2016-09-12,42,False
2016-09-13,37,False
2016-09-14,37,False
2016-09-15,45,False
2016-09-16,100,False
2016-09-17,34,False
2016-09-18,16,False
2016-09-19,58,False
2016-09-20,69,False
2016-09-21,73,False
2016-09-22,71,False
2016-09-23,58,False
2016-09-24,9,False
2016-09-25,8,False
2016-09-26,29,False
2016-09-27,51,False
2016-09-28,33,False
2016-09-29,55,False
2016-09-30,57,False
