date,MRVL stock,isPartial
2014-06-01,40,False
2014-06-02,66,False
2014-06-03,32,False
2014-06-04,32,False
2014-06-05,33,False
2014-06-06,47,False
2014-06-07,0,False
2014-06-08,41,False
2014-06-09,34,False
2014-06-10,34,False
2014-06-11,0,False
2014-06-12,100,False
2014-06-13,46,False
2014-06-14,0,False
2014-06-15,40,False
2014-06-16,33,False
2014-06-17,50,False
2014-06-18,50,False
2014-06-19,0,False
2014-06-20,36,False
2014-06-21,41,False
2014-06-22,0,False
2014-06-23,33,False
2014-06-24,66,False
2014-06-25,33,False
2014-06-26,67,False
2014-06-27,35,False
2014-06-28,41,False
2014-06-29,0,False
2014-06-30,33,False
