date,CTSH stock,isPartial
2016-01-01,23,False
2016-01-02,21,False
2016-01-03,0,False
2016-01-04,37,False
2016-01-05,18,False
2016-01-06,47,False
2016-01-07,92,False
2016-01-08,66,False
2016-01-09,21,False
2016-01-10,0,False
2016-01-11,62,False
2016-01-12,36,False
2016-01-13,100,False
2016-01-14,36,False
2016-01-15,38,False
2016-01-16,21,False
2016-01-17,0,False
2016-01-18,36,False
2016-01-19,27,False
2016-01-20,27,False
2016-01-21,18,False
2016-01-22,38,False
2016-01-23,20,False
2016-01-24,0,False
2016-01-25,36,False
2016-01-26,63,False
2016-01-27,27,False
2016-01-28,36,False
2016-01-29,75,False
2016-01-30,21,False
2016-01-31,20,False
