date,KO stock,isPartial
2017-10-01,15,False
2017-10-02,72,False
2017-10-03,47,False
2017-10-04,44,False
2017-10-05,64,False
2017-10-06,88,False
2017-10-07,33,False
2017-10-08,36,False
2017-10-09,41,False
2017-10-10,65,False
2017-10-11,50,False
2017-10-12,51,False
2017-10-13,49,False
2017-10-14,29,False
2017-10-15,14,False
2017-10-16,56,False
2017-10-17,62,False
2017-10-18,37,False
2017-10-19,70,False
2017-10-20,56,False
2017-10-21,0,False
2017-10-22,14,False
2017-10-23,49,False
2017-10-24,43,False
2017-10-25,100,False
2017-10-26,63,False
2017-10-27,84,False
2017-10-28,36,False
2017-10-29,14,False
2017-10-30,40,False
2017-10-31,73,False
