date,MSFT stock,isPartial
2012-05-01,92,False
2012-05-02,42,False
2012-05-03,79,False
2012-05-04,57,False
2012-05-05,44,False
2012-05-06,64,False
2012-05-07,77,False
2012-05-08,53,False
2012-05-09,47,False
2012-05-10,48,False
2012-05-11,94,False
2012-05-12,67,False
2012-05-13,44,False
2012-05-14,64,False
2012-05-15,52,False
2012-05-16,53,False
2012-05-17,37,False
2012-05-18,51,False
2012-05-19,38,False
2012-05-20,44,False
2012-05-21,44,False
2012-05-22,100,False
2012-05-23,95,False
2012-05-24,36,False
2012-05-25,66,False
2012-05-26,23,False
2012-05-27,0,False
2012-05-28,19,False
2012-05-29,64,False
2012-05-30,64,False
2012-05-31,59,False
