date,SIRI stock,isPartial
2017-10-01,11,False
2017-10-02,43,False
2017-10-03,19,False
2017-10-04,87,False
2017-10-05,58,False
2017-10-06,80,False
2017-10-07,33,False
2017-10-08,17,False
2017-10-09,29,False
2017-10-10,100,False
2017-10-11,91,False
2017-10-12,69,False
2017-10-13,55,False
2017-10-14,39,False
2017-10-15,33,False
2017-10-16,53,False
2017-10-17,52,False
2017-10-18,91,False
2017-10-19,54,False
2017-10-20,66,False
2017-10-21,44,False
2017-10-22,27,False
2017-10-23,71,False
2017-10-24,86,False
2017-10-25,96,False
2017-10-26,72,False
2017-10-27,45,False
2017-10-28,27,False
2017-10-29,16,False
2017-10-30,81,False
2017-10-31,53,False
