date,SBUX stock,isPartial
2012-09-01,54,False
2012-09-02,0,False
2012-09-03,29,False
2012-09-04,72,False
2012-09-05,29,False
2012-09-06,39,False
2012-09-07,51,False
2012-09-08,35,False
2012-09-09,0,False
2012-09-10,71,False
2012-09-11,28,False
2012-09-12,56,False
2012-09-13,100,False
2012-09-14,30,False
2012-09-15,35,False
2012-09-16,34,False
2012-09-17,86,False
2012-09-18,75,False
2012-09-19,47,False
2012-09-20,48,False
2012-09-21,60,False
2012-09-22,0,False
2012-09-23,68,False
2012-09-24,65,False
2012-09-25,42,False
2012-09-26,28,False
2012-09-27,57,False
2012-09-28,60,False
2012-09-29,0,False
2012-09-30,0,False
