date,SIRI stock,isPartial
2012-08-01,41,False
2012-08-02,62,False
2012-08-03,47,False
2012-08-04,24,False
2012-08-05,24,False
2012-08-06,35,False
2012-08-07,88,False
2012-08-08,83,False
2012-08-09,93,False
2012-08-10,63,False
2012-08-11,39,False
2012-08-12,16,False
2012-08-13,57,False
2012-08-14,44,False
2012-08-15,69,False
2012-08-16,100,False
2012-08-17,91,False
2012-08-18,32,False
2012-08-19,32,False
2012-08-20,59,False
2012-08-21,77,False
2012-08-22,82,False
2012-08-23,64,False
2012-08-24,43,False
2012-08-25,81,False
2012-08-26,34,False
2012-08-27,55,False
2012-08-28,40,False
2012-08-29,56,False
2012-08-30,38,False
2012-08-31,42,False
