date,PFE stock,isPartial
2013-06-01,15,False
2013-06-02,15,False
2013-06-03,100,False
2013-06-04,69,False
2013-06-05,19,False
2013-06-06,64,False
2013-06-07,20,False
2013-06-08,15,False
2013-06-09,15,False
2013-06-10,37,False
2013-06-11,31,False
2013-06-12,44,False
2013-06-13,32,False
2013-06-14,27,False
2013-06-15,23,False
2013-06-16,15,False
2013-06-17,25,False
2013-06-18,25,False
2013-06-19,32,False
2013-06-20,38,False
2013-06-21,67,False
2013-06-22,16,False
2013-06-23,0,False
2013-06-24,50,False
2013-06-25,38,False
2013-06-26,19,False
2013-06-27,51,False
2013-06-28,54,False
2013-06-29,47,False
2013-06-30,16,False
