date,PHG stock,isPartial
2018-08-01,49,False
2018-08-02,64,False
2018-08-03,0,False
2018-08-04,0,False
2018-08-05,38,False
2018-08-06,0,False
2018-08-07,32,False
2018-08-08,32,False
2018-08-09,32,False
2018-08-10,33,False
2018-08-11,38,False
2018-08-12,0,False
2018-08-13,33,False
2018-08-14,33,False
2018-08-15,0,False
2018-08-16,100,False
2018-08-17,68,False
2018-08-18,39,False
2018-08-19,0,False
2018-08-20,34,False
2018-08-21,67,False
2018-08-22,0,False
2018-08-23,67,False
2018-08-24,52,False
2018-08-25,0,False
2018-08-26,0,False
2018-08-27,66,False
2018-08-28,33,False
2018-08-29,32,False
2018-08-30,33,False
2018-08-31,34,False
