date,MCD stock,isPartial
2016-01-01,12,False
2016-01-02,19,False
2016-01-03,7,False
2016-01-04,28,False
2016-01-05,32,False
2016-01-06,22,False
2016-01-07,30,False
2016-01-08,31,False
2016-01-09,10,False
2016-01-10,7,False
2016-01-11,17,False
2016-01-12,35,False
2016-01-13,17,False
2016-01-14,25,False
2016-01-15,39,False
2016-01-16,17,False
2016-01-17,14,False
2016-01-18,16,False
2016-01-19,28,False
2016-01-20,42,False
2016-01-21,38,False
2016-01-22,39,False
2016-01-23,26,False
2016-01-24,12,False
2016-01-25,100,False
2016-01-26,73,False
2016-01-27,46,False
2016-01-28,53,False
2016-01-29,44,False
2016-01-30,22,False
2016-01-31,9,False
