date,WDC stock,isPartial
2017-07-01,20,False
2017-07-02,11,False
2017-07-03,38,False
2017-07-04,17,False
2017-07-05,54,False
2017-07-06,52,False
2017-07-07,57,False
2017-07-08,29,False
2017-07-09,9,False
2017-07-10,48,False
2017-07-11,67,False
2017-07-12,76,False
2017-07-13,77,False
2017-07-14,40,False
2017-07-15,22,False
2017-07-16,10,False
2017-07-17,58,False
2017-07-18,50,False
2017-07-19,45,False
2017-07-20,56,False
2017-07-21,41,False
2017-07-22,11,False
2017-07-23,11,False
2017-07-24,42,False
2017-07-25,68,False
2017-07-26,51,False
2017-07-27,100,False
2017-07-28,88,False
2017-07-29,28,False
2017-07-30,26,False
2017-07-31,72,False
