date,SIRI stock,isPartial
2013-07-01,64,False
2013-07-02,36,False
2013-07-03,45,False
2013-07-04,30,False
2013-07-05,46,False
2013-07-06,21,False
2013-07-07,37,False
2013-07-08,53,False
2013-07-09,62,False
2013-07-10,79,False
2013-07-11,74,False
2013-07-12,86,False
2013-07-13,38,False
2013-07-14,17,False
2013-07-15,68,False
2013-07-16,68,False
2013-07-17,60,False
2013-07-18,58,False
2013-07-19,89,False
2013-07-20,28,False
2013-07-21,21,False
2013-07-22,65,False
2013-07-23,100,False
2013-07-24,79,False
2013-07-25,78,False
2013-07-26,74,False
2013-07-27,21,False
2013-07-28,24,False
2013-07-29,56,False
2013-07-30,64,False
2013-07-31,59,False
