date,SYMC stock,isPartial
2016-05-01,0,False
2016-05-02,59,False
2016-05-03,20,False
2016-05-04,39,False
2016-05-05,100,False
2016-05-06,41,False
2016-05-07,23,False
2016-05-08,0,False
2016-05-09,30,False
2016-05-10,39,False
2016-05-11,19,False
2016-05-12,49,False
2016-05-13,30,False
2016-05-14,22,False
2016-05-15,45,False
2016-05-16,0,False
2016-05-17,39,False
2016-05-18,38,False
2016-05-19,98,False
2016-05-20,41,False
2016-05-21,23,False
2016-05-22,23,False
2016-05-23,39,False
2016-05-24,39,False
2016-05-25,20,False
2016-05-26,31,False
2016-05-27,42,False
2016-05-28,23,False
2016-05-29,23,False
2016-05-30,0,False
2016-05-31,19,False
