date,KO stock,isPartial
2013-07-01,58,False
2013-07-02,41,False
2013-07-03,59,False
2013-07-04,12,False
2013-07-05,26,False
2013-07-06,45,False
2013-07-07,30,False
2013-07-08,41,False
2013-07-09,71,False
2013-07-10,24,False
2013-07-11,66,False
2013-07-12,82,False
2013-07-13,29,False
2013-07-14,22,False
2013-07-15,36,False
2013-07-16,100,False
2013-07-17,60,False
2013-07-18,66,False
2013-07-19,37,False
2013-07-20,22,False
2013-07-21,29,False
2013-07-22,65,False
2013-07-23,29,False
2013-07-24,53,False
2013-07-25,42,False
2013-07-26,31,False
2013-07-27,22,False
2013-07-28,14,False
2013-07-29,46,False
2013-07-30,81,False
2013-07-31,41,False
